procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 31794308 220564 30870928    0    0    66     4  145  140  6  0 94  0  0
 1  0      0 31769796 220564 30870944    0    0     0     0 3923 5124  7  0 93  0  0
 1  0      0 31763180 220572 30870968    0    0     0    16 3781 4605  6  0 94  0  0
 1  0      0 31754232 220580 30870964    0    0     0    76 3788 4620  6  0 94  0  0
 1  0      0 31749884 220580 30870980    0    0     0     0 3792 4536  6  0 94  0  0
 1  0      0 31749632 220580 30870980    0    0     0     0 3760 4880  6  0 94  0  0
 1  0      0 31743772 220580 30870988    0    0     0     0 3903 5629  6  0 94  0  0
 1  0      0 31742764 220580 30870992    0    0     0     0 3989 5713  6  0 94  0  0
 1  0      0 31741756 220592 30871024    0    0     0   124 4167 6032  7  0 93  0  0
 1  0      0 31732808 220592 30871028    0    0     0     0 4031 4763  6  0 94  0  0
 1  0      0 31690084 220592 30871036    0    0     0     8 3944 4643  6  0 94  0  0
 1  0      0 31447664 220592 30871036    0    0     0     0 3926 22270  6  0 94  0  0
 1  0      0 31447664 220600 30871044    0    0     0    28 4058 24770  6  0 93  0  0
 1  0      0 31391644 220608 30871040    0    0     0    44 3955 11021  7  0 93  0  0
 1  0      0 31391392 220608 30871056    0    0     0    48 4092 6423  6  0 94  0  0
 1  0      0 31370220 220608 30871064    0    0     0     0 3894 6796  6  0 93  0  0
 1  0      0 31370220 220608 30871068    0    0     0     0 3967 6572  6  0 94  0  0
 2  0      0 31361272 220608 30871092    0    0     0     0 4013 6853  8  0 92  0  0
 1  0      0 31350308 220616 30871184    0    0     0    28 5550 59131 11  1 88  0  0
 1  0      0 31341360 220616 30871200    0    0     0     0 3747 4421  6  0 94  0  0
 1  0      0 31334492 220616 30871204    0    0     0   120 3965 4732  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 31329892 220624 30871200    0    0     0    28 4061 4919  8  0 92  0  0
 1  0      0 31306136 220624 30871220    0    0     0  1092 4066 5041  9  0 91  0  0
 1  0      0 31301788 220632 30871220    0    0     0    28 3757 4560  6  0 94  0  0
 1  0      0 31301536 220632 30871228    0    0     0    12 3943 5443  9  0 91  0  0
 2  0      0 31290320 220632 30871236    0    0     0    40 3872 5795  9  0 91  0  0
 1  0      0 31275512 220632 30871240    0    0     0     0 3873 4811  8  0 92  0  0
 2  0      0 31221508 220632 30871244    0    0     0     0 4109 16771 10  0 90  0  0
 1  0      0 31204368 220648 30871268    0    0     0    80 5167 69384 10  1 90  0  0
 2  0      0 31198004 220648 30871284    0    0     0     0 3871 5147  8  0 92  0  0
 2  0      0 31192648 220648 30871284    0    0     0     0 3962 4990  9  0 91  0  0
 1  0      0 31169144 220648 30871308    0    0     0    72 3994 5330  7  0 93  0  0
 1  0      0 31157928 220648 30871316    0    0     0     0 3862 4586  6  0 94  0  0
 1  0      0 31153328 220656 30871308    0    0     0    36 3838 4659  7  0 93  0  0
