procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 31556944 228832 31095300    0    0    55     4   70   54  6  0 94  0  0
 2  0      0 31534260 228832 31095312    0    0     0     0 3888 5355  8  0 92  0  0
 2  0      0 31525312 228832 31095316    0    0     0     0 3818 4539  6  0 94  0  0
 1  0      0 31520964 228832 31095320    0    0     0     0 3527 4402  6  0 94  0  0
 1  0      0 31518192 228840 31095344    0    0     0    24 3731 5603  7  0 93  0  0
 1  0      0 31514096 228848 31095352    0    0     0   380 3670 4484  6  0 94  0  0
 1  0      0 31514096 228848 31095360    0    0     0     0 3650 4423  6  0 94  0  0
 1  0      0 31505148 228848 31095364    0    0     0     0 3444 4121  6  0 94  0  0
 1  0      0 31504896 228848 31095368    0    0     0     0 3436 4638  6  0 94  0  0
 1  0      0 31504896 228864 31095364    0    0     0    48 3669 4637  6  0 94  0  0
 1  0      0 31496452 228864 31095380    0    0     0     0 3718 4993  6  0 94  0  0
 1  0      0 31485992 228864 31095380    0    0     0    40 3635 6116  6  0 94  0  0
 2  0      0 31207212 228864 31095392    0    0     0     0 3812 9430  7  0 93  0  0
 1  0      0 31207212 228864 31095396    0    0     0     0 3660 27599  6  0 93  0  0
 1  0      0 31178064 228872 31095416    0    0     0    20 5278 48231  6  1 93  0  0
 2  0      0 31149392 228872 31095460    0    0     0     8 4062 7278  9  0 90  0  0
 1  0      0 31140696 228872 31095464    0    0     0     0 4099 7465 10  0 90  0  0
 1  0      0 31129984 228872 31095468    0    0     0    76 3615 5993  6  0 94  0  0
 1  0      0 31129984 228872 31095472    0    0     0     0 3829 6150  6  0 94  0  0
 2  0      0 31122864 228888 31095476    0    0     0    48 3632 5046  8  0 91  0  0
 1  0      0 31109568 228888 31095548    0    0     0    60 3607 4920  9  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 31102700 228888 31095556    0    0     0     0 3784 7135  6  0 93  0  0
 1  0      0 31098352 228888 31095560    0    0     0    76 3879 6811  7  0 93  0  0
 2  0      0 31089656 228888 31095568    0    0     0    48 3738 5276  9  0 91  0  0
 1  0      0 31074344 228896 31095584    0    0     0    20 3629 5644 11  0 89  0  0
 1  0      0 31068988 228904 31095600    0    0     0    24 3508 4683  6  0 94  0  0
 1  0      0 31063380 228904 31095604    0    0     0     0 3380 4789  7  0 93  0  0
 1  0      0 31058528 228904 31095608    0    0     0     0 3572 5646 10  0 90  0  0
 2  0      0 31049580 228912 31095604    0    0     0    88 3699 5092  8  0 92  0  0
 2  0      0 30993084 228920 31095632    0    0     0    48 3835 11532  9  0 91  0  0
 1  0      0 30973424 228920 31095640    0    0     0    48 3856 12942 10  0 90  0  0
 2  0      0 30964728 228920 31095648    0    0     0    60 3803 5097  9  0 91  0  0
 2  0      0 30959624 228920 31095656    0    0     0     4 3823 5174  9  0 91  0  0
 1  0      0 30944060 228928 31095656    0    0     0    24 3802 5255  8  0 92  0  0
 1  0      0 30928244 228936 31095660    0    0     0    72 3811 5531  7  0 93  0  0
 2  0      0 30924148 228936 31095700    0    0     0    36 3693 4617  6  0 94  0  0
 2  0      0 30923896 228936 31095704    0    0     0     0 3777 4962 10  0 90  0  0
 1  0      0 30899384 228936 31095708    0    0     0     0 3664 4642  8  0 92  0  0
 1  0      0 30897872 228944 31095708    0    0     0    12 3535 4487  6  0 94  0  0
 2  0      0 30893524 228952 31095708    0    0     0    92 3775 4992  8  0 92  0  0
 1  0      0 30884324 228952 31095724    0    0     0     0 3812 5164 10  0 90  0  0
 1  0      0 30868760 228952 31095728    0    0     0     0 3597 4605  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30868508 228952 31095736    0    0     0     0 3660 4587  6  0 94  0  0
 1  0      0 30862144 228952 31095744    0    0     0     0 3740 5057  8  0 92  0  0
 1  0      0 30848600 228960 31095764    0    0     0   108 3772 5806  8  0 92  0  0
 1  0      0 30850876 228960 31095804    0    0     0     0 3601 4834  6  0 94  0  0
 1  0      0 30850372 228960 31095808    0    0     0     0 3847 5885  6  0 94  0  0
 1  0      0 30844008 228960 31095816    0    0     0     0 3989 6791  6  0 94  0  0
 1  0      0 30843756 228960 31095820    0    0     0     0 3808 7969  7  0 93  0  0
 1  0      0 30839168 228976 31095880    0    0     0    28 3647 7591  6  0 93  0  0
 1  0      0 30830220 228976 31095892    0    0     0    40 3606 8811  6  0 94  0  0
 1  0      0 30830220 228976 31095900    0    0     0     0 3667 4901  6  0 94  0  0
 1  0      0 30830220 228976 31095900    0    0     0     0 3567 4893  6  0 94  0  0
 1  0      0 30828204 228976 31095908    0    0     0     0 3633 11819  6  0 94  0  0
 1  0      0 30827196 228992 31096392    0    0     0   440 3959 28977  7  0 92  0  0
 1  0      0 30826692 228992 31096796    0    0     0     0 3825 25486  7  0 93  0  0
 3  0      0 30818500 228992 31097000    0    0     0    76 4100 16935 10  1 89  0  0
 4  0      0 30777036 228992 31097008    0    0     0     0 85267 187883 25  7 68  0  0
 5  0      0 30749436 228992 31097008    0    0     0     0 164347 413629 31  9 61  0  0
 7  0      0 30721728 229008 31097028    0    0     0    60 147906 393173 33  9 58  0  0
 7  0      0 30709188 229008 31097040    0    0     0     0 100793 235458 32  6 62  0  0
